what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.frameworks,1.1.201.v200810161330,org.eclipse.jst.common.frameworks,1316634765540
started,bundle,org.eclipse.jpt.core,2.0.102.v200901160200,org.eclipse.jpt.core,1316634765642
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1316634765687
started,bundle,org.eclipse.datatools.connectivity,1.1.2.v200901090028,org.eclipse.datatools.connectivity,1316634765909
started,bundle,org.eclipse.jpt.db,1.1.3.v200810160200,org.eclipse.jpt.db,1316634765913
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634766042
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634766099
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634771894
started,bundle,org.eclipse.jst.jee.ui,1.0.104.v200902040818,org.eclipse.jst.jee.ui,1316634800852
started,bundle,org.eclipse.jst.servlet.ui,1.1.203.v200810222000,org.eclipse.jst.servlet.ui,1316634800891
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.203.v200901290400,org.eclipse.jst.j2ee.navigator.ui,1316634800988
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1316634801286
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1316634801296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634809711
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1316634810864
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1316634810878
opened,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1316634811035
opened,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1316634811425
activated,perspective,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.JavaPerspective,1316634811466
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1316634811494
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1316634811648
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634820616
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634821208
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1316634821219
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1316634826632
